signal,rule,threshold,tune_f1,tune_calls,tune_r1_stops,eval_f1,eval_em,eval_calls,eval_r1_stops,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,verdict_vs_as
calibrated_conf,(r==1 AND calibrated_conf > 0.4421) OR answer_stable,0.4421052631578947,72.45979118920295,2.42,0,68.0385716135716,56.666666666666664,2.5366666666666666,0,0.0,0.0,0.0,0.0,tie
top_score_z_intra,(r==1 AND top_score_z_intra > 2.9464) OR answer_stable,2.9464128715122304,72.45979118920295,2.4,2,67.70523828023826,56.333333333333336,2.47,11,-0.33333333333333337,-1.0,0.0,-0.06666666666666667,tie
gap_1_2,(r==1 AND gap_1_2 > 11.5406) OR answer_stable,11.540590735801562,72.45979118920295,2.4,1,67.70523828023826,56.333333333333336,2.5033333333333334,7,-0.33333333333333337,-1.0,0.0,-0.03333333333333333,tie
gap,(r==1 AND gap > 11.5406) OR answer_stable,11.540590735801562,72.45979118920295,2.4,1,67.70523828023826,56.333333333333336,2.5033333333333334,7,-0.33333333333333337,-1.0,0.0,-0.03333333333333333,tie
top_bm25_score,(r==1 AND top_bm25_score > 20.5865) OR answer_stable,20.586489361416987,72.85979118920295,2.38,3,67.43857161357161,56.333333333333336,2.4966666666666666,8,-0.6,-1.5333333333333332,0.0,-0.04,tie
calibrated_logit_margin,(r==1 AND calibrated_logit_margin > 0.3846) OR answer_stable,0.38461538461538464,73.45979118920295,2.01,38,64.9755846005846,53.666666666666664,1.9966666666666666,135,-3.0629870129870134,-4.9453841991342,-1.4828120490620493,-0.54,LOSS
