t_conf,t_margin,t_overlap,em,f1,avg_calls,n_questions,n_stopped_early
0.4,0.675,0.3,45.0,57.000700280112035,1.06,100,100
0.4,0.675,0.35,45.0,57.000700280112035,1.06,100,100
0.4,0.675,0.4,45.0,57.000700280112035,1.06,100,100
0.4,0.75,0.05,45.0,57.000700280112035,1.05,100,100
0.4,0.75,0.1,45.0,57.000700280112035,1.06,100,100
0.4,0.75,0.15,45.0,57.000700280112035,1.06,100,100
0.4,0.75,0.2,45.0,57.000700280112035,1.06,100,100
0.4,0.75,0.25,45.0,57.000700280112035,1.06,100,100
0.4,0.75,0.3,45.0,57.000700280112035,1.06,100,100
0.4,0.75,0.35,45.0,57.000700280112035,1.06,100,100
0.4,0.75,0.4,45.0,57.000700280112035,1.06,100,100
0.4,0.825,0.05,45.0,57.000700280112035,1.05,100,100
0.4,0.825,0.1,45.0,57.000700280112035,1.06,100,100
0.4,0.825,0.15,45.0,57.000700280112035,1.06,100,100
0.4,0.825,0.2,45.0,57.000700280112035,1.06,100,100
0.4,0.825,0.25,45.0,57.000700280112035,1.06,100,100
0.4,0.825,0.3,45.0,57.000700280112035,1.06,100,100
0.4,0.825,0.35,45.0,57.000700280112035,1.06,100,100
0.4,0.825,0.4,45.0,57.000700280112035,1.06,100,100
0.45,0.3,0.05,50.0,60.70070028011204,1.26,100,100
0.45,0.3,0.1,50.0,60.70070028011204,1.26,100,100
0.45,0.3,0.15,50.0,60.70070028011204,1.26,100,100
0.45,0.3,0.2,50.0,60.70070028011204,1.26,100,100
0.45,0.3,0.25,50.0,60.70070028011204,1.26,100,100
0.45,0.3,0.3,50.0,60.70070028011204,1.26,100,100
0.45,0.3,0.35,50.0,60.70070028011204,1.26,100,100
0.45,0.3,0.4,50.0,60.70070028011204,1.26,100,100
0.45,0.375,0.05,56.00000000000001,67.25194805194805,1.49,100,100
0.45,0.375,0.1,56.00000000000001,67.25194805194805,1.49,100,100
0.45,0.375,0.15,56.00000000000001,67.25194805194805,1.49,100,100
0.45,0.375,0.2,56.00000000000001,67.25194805194805,1.49,100,100
0.45,0.375,0.25,56.00000000000001,67.25194805194805,1.49,100,100
0.45,0.375,0.3,56.00000000000001,67.25194805194805,1.49,100,100
0.45,0.375,0.35,56.00000000000001,67.25194805194805,1.49,100,100
0.45,0.375,0.4,56.00000000000001,67.25194805194805,1.49,100,100
0.45,0.45,0.05,56.99999999999999,68.51861471861471,1.62,100,100
0.45,0.45,0.1,56.99999999999999,68.51861471861471,1.62,100,100
0.45,0.45,0.15,56.99999999999999,68.51861471861471,1.63,100,100
0.45,0.45,0.2,56.99999999999999,68.51861471861471,1.63,100,100
0.45,0.45,0.25,56.99999999999999,68.51861471861471,1.63,100,100
0.45,0.45,0.3,56.99999999999999,68.51861471861471,1.63,100,100
0.45,0.45,0.35,56.99999999999999,68.51861471861471,1.63,100,100
0.45,0.45,0.4,56.99999999999999,68.51861471861471,1.63,100,100
0.45,0.525,0.05,56.99999999999999,68.51861471861471,1.66,100,100
0.45,0.525,0.1,56.99999999999999,68.51861471861471,1.66,100,100
0.45,0.525,0.15,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.525,0.2,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.525,0.25,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.525,0.3,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.525,0.35,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.525,0.4,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.6,0.05,56.99999999999999,68.51861471861471,1.66,100,100
0.45,0.6,0.1,56.99999999999999,68.51861471861471,1.66,100,100
0.45,0.6,0.15,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.6,0.2,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.6,0.25,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.6,0.3,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.6,0.35,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.6,0.4,56.99999999999999,68.51861471861471,1.67,100,100
0.45,0.675,0.05,56.00000000000001,67.51861471861471,1.83,100,100
0.45,0.675,0.1,56.00000000000001,67.51861471861471,1.84,100,100
0.45,0.675,0.15,56.00000000000001,67.51861471861471,1.85,100,100
0.45,0.675,0.2,56.00000000000001,67.51861471861471,1.85,100,100
0.45,0.675,0.25,56.00000000000001,67.51861471861471,1.85,100,100
0.45,0.675,0.3,56.00000000000001,67.51861471861471,1.85,100,100
0.45,0.675,0.35,56.00000000000001,67.51861471861471,1.85,100,100
0.45,0.675,0.4,56.00000000000001,67.51861471861471,1.85,100,100
0.45,0.75,0.05,56.00000000000001,67.51861471861471,1.98,100,100
0.45,0.75,0.1,56.00000000000001,67.51861471861471,1.99,100,100
0.45,0.75,0.15,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.75,0.2,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.75,0.25,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.75,0.3,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.75,0.35,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.75,0.4,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.825,0.05,56.00000000000001,67.51861471861471,1.98,100,100
0.45,0.825,0.1,56.00000000000001,67.51861471861471,1.99,100,100
0.45,0.825,0.15,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.825,0.2,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.825,0.25,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.825,0.3,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.825,0.35,56.00000000000001,67.51861471861471,2.0,100,100
0.45,0.825,0.4,56.00000000000001,67.51861471861471,2.0,100,100
0.5,0.3,0.05,50.0,60.70070028011204,1.26,100,100
0.5,0.3,0.1,50.0,60.70070028011204,1.26,100,100
0.5,0.3,0.15,50.0,60.70070028011204,1.26,100,100
0.5,0.3,0.2,50.0,60.70070028011204,1.26,100,100
0.5,0.3,0.25,50.0,60.70070028011204,1.26,100,100
0.5,0.3,0.3,50.0,60.70070028011204,1.26,100,100
0.5,0.3,0.35,50.0,60.70070028011204,1.26,100,100
0.5,0.3,0.4,50.0,60.70070028011204,1.26,100,100
0.5,0.375,0.05,56.00000000000001,67.25194805194805,1.49,100,100
0.5,0.375,0.1,56.00000000000001,67.25194805194805,1.49,100,100
0.5,0.375,0.15,56.00000000000001,67.25194805194805,1.49,100,100
0.5,0.375,0.2,56.00000000000001,67.25194805194805,1.49,100,100
0.5,0.375,0.25,56.00000000000001,67.25194805194805,1.49,100,100
0.5,0.375,0.3,56.00000000000001,67.25194805194805,1.49,100,100
0.5,0.375,0.35,56.00000000000001,67.25194805194805,1.49,100,100
0.5,0.375,0.4,56.00000000000001,67.25194805194805,1.49,100,100
0.5,0.45,0.05,56.99999999999999,68.51861471861471,1.62,100,100
0.5,0.45,0.1,56.99999999999999,68.51861471861471,1.62,100,100
0.5,0.45,0.15,56.99999999999999,68.51861471861471,1.63,100,100
0.5,0.45,0.2,56.99999999999999,68.51861471861471,1.63,100,100
0.5,0.45,0.25,56.99999999999999,68.51861471861471,1.63,100,100
0.5,0.45,0.3,56.99999999999999,68.51861471861471,1.63,100,100
0.5,0.45,0.35,56.99999999999999,68.51861471861471,1.63,100,100
0.5,0.45,0.4,56.99999999999999,68.51861471861471,1.63,100,100
0.5,0.525,0.05,56.99999999999999,68.51861471861471,1.66,100,100
0.5,0.525,0.1,56.99999999999999,68.51861471861471,1.66,100,100
0.5,0.525,0.15,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.525,0.2,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.525,0.25,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.525,0.3,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.525,0.35,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.525,0.4,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.6,0.05,56.99999999999999,68.51861471861471,1.66,100,100
0.5,0.6,0.1,56.99999999999999,68.51861471861471,1.66,100,100
0.5,0.6,0.15,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.6,0.2,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.6,0.25,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.6,0.3,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.6,0.35,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.6,0.4,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.675,0.05,56.00000000000001,67.51861471861471,1.83,100,100
0.5,0.675,0.1,56.00000000000001,67.51861471861471,1.84,100,100
0.5,0.675,0.15,56.00000000000001,67.51861471861471,1.85,100,100
0.5,0.675,0.2,56.00000000000001,67.51861471861471,1.85,100,100
0.5,0.675,0.25,56.00000000000001,67.51861471861471,1.85,100,100
0.5,0.675,0.3,56.00000000000001,67.51861471861471,1.85,100,100
0.5,0.675,0.35,56.00000000000001,67.51861471861471,1.85,100,100
0.5,0.675,0.4,56.00000000000001,67.51861471861471,1.85,100,100
0.5,0.75,0.05,56.00000000000001,67.51861471861471,1.98,100,100
0.5,0.75,0.1,56.00000000000001,67.51861471861471,1.99,100,100
0.5,0.75,0.15,56.00000000000001,67.51861471861471,2.0,100,100
0.5,0.75,0.2,56.00000000000001,67.51861471861471,2.0,100,100
