t_margin,t_overlap,em,f1,avg_calls,n_questions,n_stopped_early
0.35,0.175,56.99999999999999,69.85979118920295,1.59,100,100
0.35,0.2,56.99999999999999,69.85979118920295,1.61,100,100
0.35,0.225,57.99999999999999,70.19312452253628,1.63,100,100
0.35,0.25,57.99999999999999,70.37169595110771,1.7,100,100
0.35,0.275,57.99999999999999,70.37169595110771,1.7,100,100
0.35,0.3,57.99999999999999,70.37169595110771,1.7,100,100
0.35,0.325,57.99999999999999,70.37169595110771,1.7,100,100
0.35,0.35,57.99999999999999,70.37169595110771,1.7,100,100
0.35,0.375,57.99999999999999,70.37169595110771,1.73,100,100
0.35,0.4,57.99999999999999,70.37169595110771,1.73,100,100
0.375,0.05,56.00000000000001,67.25194805194805,1.49,100,100
0.375,0.075,56.99999999999999,68.25194805194805,1.5,100,100
0.375,0.1,57.99999999999999,70.19312452253628,1.53,100,100
0.375,0.125,57.99999999999999,70.19312452253628,1.56,100,100
0.375,0.15,56.99999999999999,69.85979118920295,1.59,100,100
0.375,0.175,56.99999999999999,69.85979118920295,1.59,100,100
0.375,0.2,56.99999999999999,69.85979118920295,1.61,100,100
0.375,0.225,57.99999999999999,70.19312452253628,1.63,100,100
0.375,0.25,57.99999999999999,70.37169595110771,1.7,100,100
0.375,0.275,57.99999999999999,70.37169595110771,1.7,100,100
0.375,0.3,57.99999999999999,70.37169595110771,1.7,100,100
0.375,0.325,57.99999999999999,70.37169595110771,1.7,100,100
0.375,0.35,57.99999999999999,70.37169595110771,1.7,100,100
0.375,0.375,57.99999999999999,70.37169595110771,1.73,100,100
0.375,0.4,57.99999999999999,70.37169595110771,1.73,100,100
0.4,0.05,56.99999999999999,68.51861471861471,1.63,100,100
0.4,0.075,57.99999999999999,69.51861471861471,1.66,100,100
0.4,0.1,59.0,71.45979118920295,1.78,100,100
0.4,0.125,59.0,71.45979118920295,1.88,100,99
0.4,0.15,59.0,71.45979118920295,1.98,100,98
0.4,0.175,59.0,71.45979118920296,2.06,100,97
0.4,0.2,57.99999999999999,70.45979118920296,2.12,100,97
0.4,0.225,59.0,70.79312452253629,2.16,100,95
0.4,0.25,59.0,70.97169595110772,2.23,100,92
0.4,0.275,59.0,70.97169595110772,2.23,100,92
0.4,0.3,59.0,70.97169595110772,2.23,100,92
0.4,0.325,59.0,70.97169595110772,2.23,100,92
0.4,0.35,59.0,70.97169595110772,2.23,100,92
0.4,0.375,59.0,70.97169595110772,2.26,100,91
0.4,0.4,59.0,70.97169595110772,2.26,100,91
0.425,0.05,56.99999999999999,68.51861471861471,1.63,100,100
0.425,0.075,57.99999999999999,69.51861471861471,1.66,100,100
0.425,0.1,59.0,71.45979118920295,1.78,100,100
0.425,0.125,60.0,72.45979118920295,1.9,100,99
0.425,0.15,60.0,72.45979118920295,2.01,100,98
0.425,0.175,60.0,72.45979118920296,2.09,100,97
0.425,0.2,59.0,71.45979118920296,2.16,100,97
0.425,0.225,60.0,71.79312452253629,2.24,100,94
0.425,0.25,60.0,71.97169595110772,2.32,100,91
0.425,0.275,60.0,71.97169595110772,2.34,100,91
0.425,0.3,60.0,71.97169595110772,2.34,100,91
0.425,0.325,60.0,71.97169595110772,2.34,100,91
0.425,0.35,60.0,71.97169595110772,2.34,100,91
0.425,0.375,60.0,71.97169595110772,2.37,100,90
0.425,0.4,60.0,71.97169595110772,2.37,100,90
0.45,0.05,56.99999999999999,68.51861471861471,1.63,100,100
