size,subset,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
4,calibrated_logit_margin+answer_stable+calibrated_conf+gap,1,1,59.42645785586963,1.28,54.022193547193545,44.0,1.2033333333333334,300,-14.016378066378065,-17.65935966810967,-10.1117297979798,-1.3333333333333333,-12.786524586524587,-16.42333735708736,-8.86897089022089,-11.165584415584414,-14.920398629148629,-7.256441197691201
5,calibrated_logit_margin+answer_stable+calibrated_conf+overlap_signal+gap,1,1,59.42645785586963,1.28,54.022193547193545,44.0,1.2033333333333334,300,-14.016378066378065,-17.65935966810967,-10.1117297979798,-1.3333333333333333,-12.786524586524587,-16.42333735708736,-8.86897089022089,-11.165584415584414,-14.920398629148629,-7.256441197691201
3,calibrated_logit_margin+calibrated_conf+gap,1,0,59.42645785586963,1.29,54.022193547193545,44.0,1.2066666666666668,300,-14.016378066378065,-17.65935966810967,-10.1117297979798,-1.33,-12.786524586524587,-16.42333735708736,-8.86897089022089,-11.165584415584414,-14.920398629148629,-7.256441197691201
4,calibrated_logit_margin+calibrated_conf+overlap_signal+gap,1,0,59.42645785586963,1.28,54.022193547193545,44.0,1.2066666666666668,300,-14.016378066378065,-17.65935966810967,-10.1117297979798,-1.33,-12.786524586524587,-16.42333735708736,-8.86897089022089,-11.165584415584414,-14.920398629148629,-7.256441197691201
4,calibrated_logit_margin+answer_stable+overlap_signal+gap,1,1,60.42645785586963,1.3,53.99997132497132,44.0,1.2566666666666666,300,-14.03860028860029,-17.670551948051948,-10.118180014430017,-1.28,-12.80874680874681,-16.413261183261184,-8.890209651459653,-11.187806637806638,-15.00558621933622,-7.247999639249643
5,calibrated_logit_margin+answer_stable+calibrated_conf+top_score_z_intra+gap,1,1,59.42645785586963,1.26,53.84759037259037,44.0,1.1833333333333333,300,-14.190981240981241,-17.87445707070707,-10.27668650793651,-1.3533333333333333,-12.961127761127761,-16.595264180264184,-9.11850288600289,-11.34018759018759,-15.090535714285716,-7.281443001443005
6,calibrated_logit_margin+answer_stable+calibrated_conf+overlap_signal+top_score_z_intra+gap,1,1,59.42645785586963,1.26,53.84759037259037,44.0,1.1833333333333333,300,-14.190981240981241,-17.87445707070707,-10.27668650793651,-1.3533333333333333,-12.961127761127761,-16.595264180264184,-9.11850288600289,-11.34018759018759,-15.090535714285716,-7.281443001443005
4,calibrated_logit_margin+calibrated_conf+top_score_z_intra+gap,1,0,59.42645785586963,1.27,53.84759037259037,44.0,1.1866666666666668,300,-14.190981240981241,-17.87445707070707,-10.27668650793651,-1.35,-12.961127761127761,-16.595264180264184,-9.11850288600289,-11.34018759018759,-15.090535714285716,-7.281443001443005
5,calibrated_logit_margin+calibrated_conf+overlap_signal+top_score_z_intra+gap,1,0,59.42645785586963,1.26,53.84759037259037,44.0,1.1866666666666668,300,-14.190981240981241,-17.87445707070707,-10.27668650793651,-1.35,-12.961127761127761,-16.595264180264184,-9.11850288600289,-11.34018759018759,-15.090535714285716,-7.281443001443005
5,calibrated_logit_margin+answer_stable+overlap_signal+top_score_z_intra+gap,1,1,60.42645785586963,1.28,53.82536815036815,44.0,1.2366666666666666,300,-14.213203463203461,-17.879251443001447,-10.18433261183261,-1.3,-12.983349983349985,-16.591944444444444,-9.098851426351425,-11.362409812409812,-15.14609126984127,-7.30614357864358
