size,subset,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
5,calibrated_logit_margin+answer_stable+calibrated_conf+overlap_signal+gap,1,1,75.9716959511077,4.43,69.35792448292449,58.333333333333336,4.273333333333333,118,1.3193528693528693,-0.33723443223443217,3.085873015873016,1.7366666666666666,2.549206349206349,1.0912698412698412,4.427817460317459,4.17014652014652,1.9921581196581197,6.490253357753358
5,calibrated_logit_margin+answer_stable+calibrated_conf+overlap_signal+top_score_z_intra,1,1,75.9716959511077,4.46,69.35792448292449,58.333333333333336,4.323333333333333,107,1.3193528693528693,-0.33723443223443217,3.085873015873016,1.7866666666666666,2.549206349206349,1.0912698412698412,4.427817460317459,4.17014652014652,1.9921581196581197,6.490253357753358
6,calibrated_logit_margin+answer_stable+calibrated_conf+overlap_signal+top_score_z_intra+gap,1,1,75.9716959511077,4.51,69.35792448292449,58.333333333333336,4.3566666666666665,103,1.3193528693528693,-0.33723443223443217,3.085873015873016,1.82,2.549206349206349,1.0912698412698412,4.427817460317459,4.17014652014652,1.9921581196581197,6.490253357753358
4,calibrated_logit_margin+answer_stable+overlap_signal+gap,1,1,75.9716959511077,4.43,69.30236892736893,58.333333333333336,4.266666666666667,119,1.2637973137973137,-0.35303571428571434,3.020102258852259,1.73,2.4936507936507932,1.0444444444444443,4.360595238095238,4.114590964590965,1.9156105006105004,6.401388888888889
4,calibrated_logit_margin+answer_stable+overlap_signal+top_score_z_intra,1,1,75.9716959511077,4.46,69.30236892736893,58.333333333333336,4.316666666666666,108,1.2637973137973137,-0.35303571428571434,3.020102258852259,1.78,2.4936507936507932,1.0444444444444443,4.360595238095238,4.114590964590965,1.9156105006105004,6.401388888888889
5,calibrated_logit_margin+answer_stable+overlap_signal+top_score_z_intra+gap,1,1,75.9716959511077,4.51,69.30236892736893,58.333333333333336,4.35,104,1.2637973137973137,-0.35303571428571434,3.020102258852259,1.8133333333333332,2.4936507936507932,1.0444444444444443,4.360595238095238,4.114590964590965,1.9156105006105004,6.401388888888889
4,answer_stable+calibrated_conf+overlap_signal+gap,0,1,76.9716959511077,4.14,69.13570226070226,58.333333333333336,4.05,137,1.0971306471306472,-0.4287301587301587,2.758075396825397,1.5133333333333334,2.326984126984127,0.9044841269841271,4.021626984126983,3.9479242979242977,1.8720909645909647,6.184404761904761
4,answer_stable+calibrated_conf+overlap_signal+top_score_z_intra,0,1,75.9716959511077,4.19,69.13570226070226,58.333333333333336,4.126666666666667,123,1.0971306471306472,-0.4287301587301587,2.758075396825397,1.59,2.326984126984127,0.9044841269841271,4.021626984126983,3.9479242979242977,1.8720909645909647,6.184404761904761
5,answer_stable+calibrated_conf+overlap_signal+top_score_z_intra+gap,0,1,76.9716959511077,4.27,69.13570226070226,58.333333333333336,4.17,118,1.0971306471306472,-0.4287301587301587,2.758075396825397,1.6333333333333333,2.326984126984127,0.9044841269841271,4.021626984126983,3.9479242979242977,1.8720909645909647,6.184404761904761
4,calibrated_logit_margin+answer_stable+calibrated_conf+overlap_signal,1,1,75.9716959511077,3.91,69.11982924482925,57.99999999999999,3.8933333333333335,178,1.0812576312576312,-0.5333699633699635,2.765979853479853,1.3566666666666667,2.311111111111111,0.9333333333333332,4.155833333333333,3.932051282051282,1.7556501831501832,6.109749694749695
3,calibrated_logit_margin+answer_stable+gap,1,1,74.9716959511077,3.93,69.08014670514669,57.99999999999999,3.7733333333333334,179,1.0415750915750914,-0.45435744810744805,2.5733531746031746,1.2366666666666666,2.271428571428571,0.615595238095238,4.360873015873016,3.892368742368742,1.8296901709401707,6.091607142857143
4,calibrated_logit_margin+answer_stable+calibrated_conf+gap,1,1,74.9716959511077,3.93,69.08014670514669,57.99999999999999,3.776666666666667,178,1.0415750915750914,-0.45435744810744805,2.5733531746031746,1.24,2.271428571428571,0.615595238095238,4.360873015873016,3.892368742368742,1.8296901709401707,6.091607142857143
3,calibrated_logit_margin+answer_stable+top_score_z_intra,1,1,74.9716959511077,4.0,69.08014670514669,57.99999999999999,3.8433333333333333,163,1.0415750915750914,-0.45435744810744805,2.5733531746031746,1.3066666666666666,2.271428571428571,0.615595238095238,4.360873015873016,3.892368742368742,1.8296901709401707,6.091607142857143
4,calibrated_logit_margin+answer_stable+calibrated_conf+top_score_z_intra,1,1,74.9716959511077,4.0,69.08014670514669,57.99999999999999,3.8466666666666667,162,1.0415750915750914,-0.45435744810744805,2.5733531746031746,1.31,2.271428571428571,0.615595238095238,4.360873015873016,3.892368742368742,1.8296901709401707,6.091607142857143
4,calibrated_logit_margin+answer_stable+top_score_z_intra+gap,1,1,74.9716959511077,4.08,69.08014670514669,57.99999999999999,3.8866666666666667,157,1.0415750915750914,-0.45435744810744805,2.5733531746031746,1.35,2.271428571428571,0.615595238095238,4.360873015873016,3.892368742368742,1.8296901709401707,6.091607142857143
